sample_id	r1	r2	population
SRR13040214	data/raw_fastq/SRR13040214_1.fastq.gz	data/raw_fastq/SRR13040214_2.fastq.gz	PopA
SRR13040215	data/raw_fastq/SRR13040215_1.fastq.gz	data/raw_fastq/SRR13040215_2.fastq.gz	PopA
